16.211,-0.649,-0.687,-0.183,43,31.67
418841,-986.328,113.770,-58.105,0.786,-1.832,0.802,-76.172,-1009.277,-125.000,-0.664,-0.443,0.221,43,31.67
418872,-989.746,123.047,-65.918,-1.847,0.695,-1.527,-83.496,-1001.465,-114.746,-1.779,-1.328,-0.863,43,31.67
418904,-1002.441,109.375,-70.313,-1.626,0.687,0.802,-76.172,-1000.977,-112.305,1.344,-1.405,-3.137,43,31.67
418936,-998.535,123.535,-65.430,-3.237,4.817,-1.809,-93.262,-1004.883,-112.793,1.076,-3.702,-0.588,41,31.67
418968,-988.281,125.000,-67.871,-1.656,1.924,-0.893,-85.449,-999.512,-116.211,0.031,-0.878,-2.176,43,31.67
419000,-999.023,104.492,-86.426,1.305,-0.504,1.214,-78.613,-999.512,-108.398,-0.412,1.092,-0.130,43,31.67
419032,-980.469,122.559,-84.961,-0.260,0.267,0.466,-80.078,-1000.488,-119.141,-1.107,0.137,0.672,43,31.67
419064,-980.469,110.352,-74.219,0.336,1.771,-3.710,-79.590,-1005.859,-134.277,3.305,-0.725,-1.504,43,31.67
419096,-997.559,117.188,-67.383,-0.687,1.336,-1.939,-76.172,-1009.766,-125.977,2.496,1.252,1.603,44,31.67
419128,-982.422,115.234,-59.082,0.389,0.221,2.206,-94.238,-990.723,-125.488,-0.061,-0.504,-0.809,39,31.67
419160,-990.723,106.445,-63.965,0.069,-3.328,2.527,-94.238,-996.582,-114.258,0.527,1.840,1.328,45,31.67
419192,-986.328,112.305,-70.801,-0.443,2.649,-1.344,-72.266,-1000.977,-121.094,-0.382,1.015,0.008,42,31.67
419224,-1003.418,135.254,-66.895,-2.076,1.496,-1.145,-78.613,-1006.348,-104.004,0.061,-1.405,-1.244,56,31.67
419256,-998.047,116.699,-76.172,0.794,1.229,2.931,-98.633,-1005.371,-107.910,-0.344,-1.084,0.893,45,31.67
419288,-989.746,118.164,-68.848,-2.443,0.344,-0.771,-80.078,-998.047,-132.324,-1.099,-0.962,-1.672,43,31.67
419320,-1007.324,139.648,-55.664,-5.397,3.496,-1.603,-154.785,-979.004,-155.273,1.015,-2.092,-2.634,43,31.67
419352,-978.027,145.020,-42.969,-6.344,2.534,-2.069,-88.379,-985.840,-132.324,-4.260,-6.260,-3.641,44,31.67
419384,-981.934,97.656,-89.844,-4.794,2.847,-2.534,-41.016,-1068.359,-87.891,-4.443,-10.092,1.046,43,31.68
419416,-1010.742,104.492,-81.543,-5.916,5.389,-0.229,-40.039,-985.352,-99.609,-2.939,-8.313,1.573,44,31.68
419448,-975.098,112.305,-86.914,-3.443,4.252,0.931,-44.922,-993.652,-120.117,-3.664,-3.817,1.115,43,31.68
419480,-972.656,128.906,-88.867,-0.053,-1.221,2.069,-83.496,-991.211,-156.250,-2.924,-1.397,-1.008,43,31.68
419512,-988.281,145.996,-97.656,-1.092,-1.527,3.191,-104.492,-1000.488,-159.668,0.954,0.221,2.160,43,31.68
419544,-994.141,136.230,-80.566,-1.802,0.153,-0.908,-130.371,-993.164,-144.043,2.840,-1.252,1.542,43,31.68
419576,-984.375,138.184,-81.543,-2.763,-0.916,-1.954,-123.047,-983.398,-110.840,2.435,-0.183,-2.168,45,31.68
419608,-991.211,139.648,-77.148,1.580,-3.290,-1.634,-119.141,-995.117,-110.352,4.130,3.733,-3.817,43,31.68
419639,-988.770,127.441,-54.688,2.267,-3.672,-0.115,-116.211,-1003.418,-106.934,4.336,2.443,-1.237,45,31.68
419670,-976.562,116.699,-67.383,0.336,0.061,-6.137,-111.328,-1010.254,-105.957,4.130,1.809,-0.794,45,31.68
419701,-981.934,122.070,-59.570,-3.008,1.947,-8.344,-109.375,-996.094,-113.281,-0.046,0.282,0.107,45,31.68
419732,-1001.465,133.789,-78.125,-0.809,2.397,-9.550,-117.676,-994.141,-120.117,1.252,0.489,-1.305,63,31.68
419763,-995.117,91.797,-79.102,0.099,-2.962,-9.153,-101.563,-997.070,-124.512,2.756,-0.008,-1.504,46,31.68
419794,-1000.000,92.285,-72.266,-0.481,-1.748,-8.947,-73.730,-1016.602,-121.582,1.985,3.611,0.122,47,31.68
419825,-1010.742,89.844,-80.566,-2.420,-0.954,-8.595,-64.941,-1004.883,-138.672,2.580,1.168,0.244,53,31.68
419856,-994.141,86.426,-89.844,0.229,-1.969,-10.824,-75.195,-1006.348,-122.070,2.771,1.305,-1.221,51,31.68
419887,-1000.000,75.684,-56.641,0.092,-2.573,-11.634,-58.594,-1007.812,-124.512,6.153,1.519,3.718,53,31.68
419918,-1009.277,81.055,-77.148,2.779,-6.137,-7.969,-69.824,-1020.508,-123.535,7.015,2.252,-1.244,47,31.68
419949,-982.422,63.965,-69.336,3.313,-8.298,-8.947,-70.801,-1023.437,-105.957,7.244,-0.679,-1.298,51,31.68
419980,-997.559,87.402,-52.246,2.947,-7.626,-5.321,-43.945,-997.070,-133.789,6.611,-0.458,0.290,51,31.68
420012,-990.234,65.918,-62.988,2.145,-6.573,-4.702,-61.523,-997.559,-129.883,11.809,0.359,0.870,53,31.68
420043,-1005.859,45.898,-80.566,2.198,-7.344,-3.458,-66.406,-1003.906,-99.121,10.740,-3.878,2.397,54,31.68
420075,-1003.418,49.316,-59.570,5.206,-9.511,-2.046,-40.039,-1025.879,-71.777,13.779,1.794,-0.450,51,31.68
420107,-1022.461,57.129,-61.523,4.267,-7.534,-5.603,-86.426,-1015.625,-85.938,12.489,2.534,-0.985,55,31.68
420139,-1025.879,82.031,-65.918,10.916,-11.878,0.779,-91.309,-1045.410,-41.504,13.107,6.298,1.214,55,31.68
420171,-1040.527,50.781,-45.898,13.176,-11.008,-1.725,-75.684,-1009.766,-20.996,11.634,12.542,0.298,89,31.68
420203,-992.676,22.461,-49.805,13.168,-6.351,-5.885,-61.035,-987.305,-42.480,8.008,10.527,-1.679,135,31.68
420234,-967.285,90.820,0.488,14.382,-6.504,-0.824,-64.941,-1017.090,-58.105,10.206,10.061,-1.420,115,31.68
420266,-933.105,91.797,-24.414,10.687,-5.748,0.695,-30.273,-973.633,-26.367,5.641,12.649,2.740,146,31.68
420297,-943.359,54.199,-65.430,12.450,-2.969,9.328,-43.945,-949.219,5.371,2.176,11.550,5.244,121,31.68
420328,-940.918,64.453,-56.152,9.046,2.824,14.229,-56.641,-934.082,-20.020,-0.969,9.244,-0.893,89,31.68
420359,-949.219,56.641,-20.996,9.321,7.763,15.695,-70.313,-999.023,-14.648,-9.084,6.656,0.466,115,31.68
420390,-998.535,-15.625,41.992,5.427,10.863,8.466,-39.551,-1017.090,-15.625,-12.588,9.557,7.802,169,31.68
420421,-1209.473,-173.340,210.937,14.244,-4.237,1.977,-11.719,-1120.117,-68.848,6.740,13.534,0.595,173,31.68
420452,-939.453,120.117,47.852,8.321,-11.695,-1.603,-84.473,-970.703,-96.680,17.023,10.962,-0.863,155,31.68
420483,-931.641,142.578,-150.391,5.115,-9.794,4.412,-98.145,-970.703,-33.203,4.298,5.282,4.244,173,31.68
420514,-1065.430,35.156,-9.766,8.832,-1.191,5.924,-50.781,-1007.812,-27.344,-2.282,9.176,0.573,239,31.68
420545,-1014.160,122.070,37.598,6.855,-7.756,7.534,-155.273,-1025.879,-73.730,3.740,4.031,-4.779,215,31.68
420576,-938.965,106.445,-21.973,-0.313,0.511,1.573,-133.301,-991.211,-38.086,0.985,2.267,-0.870,133,31.68
420607,-1032.715,71.289,-38.086,4.351,-0.092,-2.565,-46.875,-1034.668,-3.418,1.328,6.618,1.840,91,31.68
420638,-1014.160,98.145,-10.254,7.099,-1.214,3.069,-90.332,-1010.742,-60.547,4.710,10.221,-1.260,94,31.68
420669,-985.352,78.125,14.648,8.962,-7.069,3.321,-99.609,-1014.160,-66.895,1.855,11.076,2.061,69,31.68
420701,-1015.625,87.402,-7.324,5.992,-6.649,-1.992,-80.078,-1026.855,-37.598,2.084,9.916,4.282,60,31.68
